region	ring	station	sector	layer	subsector	roll	strip	rawId	eff	noise
0	-2	2	12	1	1	1	38	637568429	0	0.194817
0	-2	2	12	1	1	1	39	637568429	0	0.194817
0	-2	2	12	1	1	1	40	637568429	0	0.194817
0	-2	2	12	1	1	1	41	637568429	0	0.194817
0	-2	2	12	1	1	1	42	637568429	0	0.194817
0	-2	2	12	1	1	1	43	637568429	0	0.194817
0	-2	2	12	1	1	1	44	637568429	0	0.194817
0	-2	2	12	1	1	1	45	637568429	0	0.194817
0	-2	2	12	1	1	1	46	637568429	0	0.194817
0	-2	2	12	1	1	1	47	637568429	0	0.194817
0	-2	2	12	1	1	1	48	637568429	0	0.194817
0	-2	2	12	1	1	1	49	637568429	0	0.194817
0	-2	2	12	1	1	1	50	637568429	0	0.194817
0	-2	2	12	1	1	1	51	637568429	0	0.194817
0	-2	2	12	1	1	1	52	637568429	0	0.194817
0	-2	2	12	1	1	1	53	637568429	0	0.194817
0	-2	2	12	1	1	1	54	637568429	0	0.194817
0	-2	2	12	1	1	1	55	637568429	0	0.194817
0	-2	2	12	1	1	1	56	637568429	0	0.194817
0	-2	2	12	1	1	1	57	637568429	0	0.194817
0	-2	2	12	1	1	1	58	637568429	0	0.194817
0	-2	2	12	1	1	1	59	637568429	0	0.194817
0	-2	2	12	1	1	1	60	637568429	0	0.194817
0	-2	2	12	1	1	1	61	637568429	0	0.194817
0	-2	2	12	1	1	1	62	637568429	0	0.194817
0	-2	2	12	1	1	1	63	637568429	0	0.194817
0	-2	2	12	1	1	1	64	637568429	0	0.194817
0	-2	2	12	1	1	1	65	637568429	0	0.194817
0	-2	2	12	1	1	1	66	637568429	0	0.194817
0	-2	2	12	1	1	1	67	637568429	0	0.194817
0	-2	2	12	1	1	1	68	637568429	0	0.194817
0	-2	2	12	1	1	1	69	637568429	0	0.194817
0	-2	2	12	1	1	1	70	637568429	0	0.194817
0	-2	2	12	1	1	1	71	637568429	0	0.194817
0	-2	2	12	1	1	1	72	637568429	0	0.194817
0	-2	2	12	1	1	1	73	637568429	0	0.194817
0	-2	2	12	1	1	1	74	637568429	0	0.194817
0	-2	2	12	1	1	1	75	637568429	0	0.194817
0	-2	2	12	1	1	1	76	637568429	0	0.194817
0	-2	2	12	1	1	1	77	637568429	0	0.194817
0	-2	2	12	1	1	1	78	637568429	0	0.194817
0	-2	2	12	1	1	1	79	637568429	0	0.194817
0	-2	2	12	1	1	1	80	637568429	0	0.194817
0	-2	2	12	1	1	1	81	637568429	0	0.194817
0	-2	2	12	1	1	1	82	637568429	0	0.194817
0	-2	2	12	1	1	1	83	637568429	0	0.194817
0	-2	2	12	1	1	1	84	637568429	0	0.194817
0	-2	2	12	1	1	1	85	637568429	0	0.194817
0	-2	2	12	1	1	1	86	637568429	0	0.194817
0	-2	2	12	1	1	1	87	637568429	0	0.194817
0	-2	2	12	1	1	1	88	637568429	0	0.194817
0	-2	2	12	1	1	1	89	637568429	0	0.194817
0	-2	2	12	1	1	1	90	637568429	0	0.194817
0	-1	1	4	2	1	1	1	637569425	0	0.592537
0	-1	1	4	2	1	1	2	637569425	0	0.592537
0	-1	1	4	2	1	1	3	637569425	0	0.592537
0	-1	1	4	2	1	1	4	637569425	0	0.592537
0	-1	1	4	2	1	1	5	637569425	0	0.592537
0	-1	1	4	2	1	1	6	637569425	0	0.592537
0	-1	1	4	2	1	1	7	637569425	0	0.592537
0	-1	1	4	2	1	1	8	637569425	0	0.592537
0	-1	1	4	2	1	1	9	637569425	0	0.592537
0	-1	1	4	2	1	1	10	637569425	0	0.592537
0	-1	1	4	2	1	1	11	637569425	0	0.592537
0	-1	1	4	2	1	1	12	637569425	0	0.592537
0	-1	1	4	2	1	1	13	637569425	0	0.592537
0	-1	1	4	2	1	1	14	637569425	0	0.592537
0	-1	1	4	2	1	1	15	637569425	0	0.592537
0	-1	1	4	2	1	1	16	637569425	0	0.592537
0	-1	1	4	2	1	1	17	637569425	0	0.592537
0	-1	1	4	2	1	1	18	637569425	0	0.592537
0	-1	1	4	2	1	1	19	637569425	0	0.592537
0	-1	1	4	2	1	1	20	637569425	0	0.592537
0	-1	1	4	2	1	1	21	637569425	0	0.592537
0	-1	1	4	2	1	1	22	637569425	0	0.592537
0	-1	1	4	2	1	1	23	637569425	0	0.592537
0	-1	1	4	2	1	1	24	637569425	0	0.592537
0	-1	1	4	2	1	1	25	637569425	0	0.592537
0	-1	1	4	2	1	1	26	637569425	0	0.592537
0	-1	1	4	2	1	1	27	637569425	0	0.592537
0	-1	1	4	2	1	1	28	637569425	0	0.592537
0	-1	1	4	2	1	1	29	637569425	0	0.592537
0	-1	1	4	2	1	1	30	637569425	0	0.592537
0	-1	1	4	2	1	1	31	637569425	0	0.592537
0	-1	1	4	2	1	1	32	637569425	0	0.592537
0	-1	1	4	2	1	1	33	637569425	0	0.592537
0	-1	1	4	2	1	1	34	637569425	0	0.592537
