region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-2	2	7	2	1	1	84	84	0.978896	0.978896	0.978896	0	-0.770793	3.10632	637569837
0	-2	2	7	2	1	2	84	84	0.95464	0.95464	0.95464	0	-0.8799	3.10632	637602605
0	-2	2	7	2	1	3	84	84	0.974897	0.974897	0.974897	0	-0.986347	3.10632	637635373
0	-2	2	8	1	1	1	90	90	0.904284	0.904284	0.904284	0	-0.845445	-2.65434	637567917
0	-2	2	8	1	1	3	90	90	0.885628	0.885628	0.885628	0	-1.01305	-2.65434	637633453
0	-2	2	8	2	1	1	84	84	0.961458	0.961458	0.961458	0	-0.770793	-2.65326	637569965
0	-2	2	8	2	1	2	84	84	0.955602	0.955602	0.955602	0	-0.8799	-2.65326	637602733
0	-2	2	8	2	1	3	84	84	0.982598	0.982598	0.982598	0	-0.986347	-2.65326	637635501
0	-2	2	9	1	1	1	90	90	0.973535	0.973535	0.973535	0	-0.845445	-2.13074	637568045
0	-2	2	9	1	1	3	90	90	0.9742	0.9742	0.9742	0	-1.01305	-2.13074	637633581
0	-2	2	9	2	1	1	84	84	0.978519	0.978519	0.978519	0	-0.770793	-2.12967	637570093
0	-2	2	9	2	1	2	84	84	0.94311	0.94311	0.94311	0	-0.8799	-2.12967	637602861
0	-2	2	9	2	1	3	84	84	0.974059	0.974059	0.974059	0	-0.986347	-2.12967	637635629
0	-2	2	10	1	1	1	90	90	0.925552	0.925552	0.925552	0	-0.845445	-1.60715	637568173
0	-2	2	10	1	1	3	90	90	0.966072	0.966072	0.966072	0	-1.01305	-1.60715	637633709
0	-2	2	10	2	1	1	84	84	0.965842	0.965842	0.965842	0	-0.770793	-1.60607	637570221
0	-2	2	10	2	1	2	84	84	0.930718	0.930718	0.930718	0	-0.8799	-1.60607	637602989
0	-2	2	10	2	1	3	84	84	0.980461	0.980461	0.980461	0	-0.986347	-1.60607	637635757
